transaction_id,customer_id,transaction_date,product_id,product_name,quantity,price,tax
1001,501,2023-07-11,101,Product A,1,76.27,8.23
1002,502,2023-07-12,102,Product B,3,119.16,17.06
1003,503,2023-07-13,103,Product C,1,287.25,26.36
1004,504,2023-07-13,104,Product D,2,115.46,25.39
1005,505,2023-07-12,100,Product E,4,255.05,16.03
1006,506,2023-07-20,101,Product A,,77.61,24.56
1007,,2023-07-18,102,Product B,5,78.28,18.24
1008,508,2023-07-18,103,Product C,1,254.17,14.87
1009,509,2023-07-16,104,Product D,5,200.0,10.69
1010,500,2023-07-15,100,Product E,4,200.35,17.34
1011,501,2023-07-16,101,Product A,3,112.25,15.0
1012,502,2023-07-20,102,Product B,,206.0,28.52
1013,503,2023-07-14,103,Product C,1,86.54,28.58
1014,,2023-07-17,104,Product D,5,209.43,19.52
1015,505,2023-07-16,100,Product E,4,52.97,7.61
1016,506,2023-07-11,101,Product A,1,137.05,16.48
1017,507,2023-07-16,102,Product B,2,132.87,5.55
1018,508,2023-07-17,103,Product C,,200.0,7.7
1019,509,2023-07-14,104,Product D,1,137.82,14.17
1020,500,2023-07-11,100,Product E,2,144.66,23.74
1021,,2023-07-16,101,Product A,4,188.62,16.11
1022,502,2023-07-11,102,Product B,1,103.71,15.0
1023,503,2023-07-15,103,Product C,1,179.95,28.53
1024,504,2023-07-14,104,Product D,,241.04,23.45
1025,505,2023-07-10,100,Product E,5,261.65,22.97
1026,506,2023-07-11,101,Product A,4,104.98,21.21
1027,507,2023-07-17,102,Product B,4,200.0,6.05
1028,,2023-07-10,103,Product C,4,194.77,28.42
1029,509,2023-07-13,104,Product D,3,94.46,5.43
1030,500,2023-07-15,100,Product E,,115.19,23.79
1031,501,2023-07-11,101,Product A,5,178.55,26.64
1032,502,2023-07-16,102,Product B,2,87.23,11.85
1033,503,2023-07-19,103,Product C,1,199.79,15.0
1034,504,2023-07-17,104,Product D,1,133.87,16.29
1035,,2023-07-11,100,Product E,5,145.45,10.18
1036,506,2023-07-16,101,Product A,,200.0,9.84
1037,507,2023-07-16,102,Product B,4,247.01,26.91
1038,508,2023-07-18,103,Product C,2,130.85,28.55
1039,509,2023-07-10,104,Product D,2,252.51,14.6
1040,500,2023-07-19,100,Product E,1,268.73,23.48
1041,501,2023-07-17,101,Product A,4,168.56,9.22
1042,,2023-07-12,102,Product B,,235.26,27.72
1043,503,2023-07-11,103,Product C,3,230.73,27.24
1044,504,2023-07-16,104,Product D,2,254.38,15.0
1045,505,2023-07-17,100,Product E,3,200.0,16.71
1046,506,2023-07-10,101,Product A,3,182.98,29.2
1047,507,2023-07-18,102,Product B,4,288.77,19.39
1048,508,2023-07-10,103,Product C,,54.89,16.08
1049,,2023-07-12,104,Product D,2,161.99,17.87
1050,500,2023-07-17,100,Product E,1,268.59,16.25
1051,501,2023-07-13,101,Product A,5,149.13,13.43
1052,502,2023-07-13,102,Product B,5,125.08,22.19
1053,503,2023-07-16,103,Product C,2,265.51,19.55
1054,504,2023-07-13,104,Product D,,200.0,24.92
1055,505,2023-07-10,100,Product E,5,220.81,15.0
1056,,2023-07-13,101,Product A,2,174.03,28.8
1057,507,2023-07-13,102,Product B,5,289.04,21.35
1058,508,2023-07-19,103,Product C,3,275.11,23.46
1059,509,2023-07-14,104,Product D,3,104.49,25.35
1060,500,2023-07-16,100,Product E,,235.69,7.43
1061,501,2023-07-17,101,Product A,5,239.46,23.0
1062,502,2023-07-19,102,Product B,3,135.35,19.79
1063,,2023-07-14,103,Product C,3,200.0,18.63
1064,504,2023-07-11,104,Product D,3,177.06,29.8
1065,505,2023-07-11,100,Product E,4,250.62,26.48
1066,506,2023-07-11,101,Product A,,224.76,15.0
1067,507,2023-07-14,102,Product B,1,171.61,8.36
1068,508,2023-07-20,103,Product C,1,148.45,7.33
1069,509,2023-07-18,104,Product D,4,240.51,13.41
1070,,2023-07-16,100,Product E,5,200.8,7.34
1071,501,2023-07-14,101,Product A,4,195.91,6.81
1072,502,2023-07-20,102,Product B,,200.0,5.51
1073,503,2023-07-18,103,Product C,4,57.47,26.21
1074,504,2023-07-14,104,Product D,4,183.53,8.11
1075,505,2023-07-14,100,Product E,3,123.32,14.51
1076,506,2023-07-14,101,Product A,1,140.7,17.29
1077,,2023-07-11,102,Product B,5,163.07,15.0
1078,508,2023-07-10,103,Product C,,127.1,28.23
1079,509,2023-07-11,104,Product D,5,195.99,20.6
1080,500,2023-07-20,100,Product E,3,266.13,26.44
1081,501,2023-07-14,101,Product A,1,200.0,19.54
1082,502,2023-07-13,102,Product B,3,133.39,17.92
1083,503,2023-07-17,103,Product C,3,127.25,14.76
1084,,2023-07-17,104,Product D,,132.87,8.15
1085,505,2023-07-17,100,Product E,2,193.2,24.57
1086,506,2023-07-18,101,Product A,4,277.97,22.69
1087,507,2023-07-18,102,Product B,2,281.83,27.81
1088,508,2023-07-18,103,Product C,3,147.8,15.0
1089,509,2023-07-20,104,Product D,1,109.83,6.96
1090,500,2023-07-14,100,Product E,,200.0,24.52
1091,,2023-07-11,101,Product A,5,79.6,21.87
1092,502,2023-07-16,102,Product B,2,297.51,19.47
1093,503,2023-07-17,103,Product C,4,225.96,5.7
1094,504,2023-07-13,104,Product D,2,290.43,17.88
1095,505,2023-07-18,100,Product E,1,218.52,23.75
1096,506,2023-07-15,101,Product A,,243.74,19.03
1097,507,2023-07-15,102,Product B,5,230.25,29.48
1098,,2023-07-14,103,Product C,1,240.41,8.74
1099,509,2023-07-12,104,Product D,2,200.0,15.0
1100,500,2023-07-17,100,Product E,4,257.38,13.27
